consumption_date,part_id,part_name,quantity_used,supplier_lead_time_days,part_cost,daily_inventory_holding_cost
2022-01-01,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-01-02,SP-002,Conveyor Belt Section,2,30,500.0,0.2055
2022-01-02,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-01-03,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-01-03,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-03,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-01-04,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-04,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-05,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-06,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-01-07,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-08,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-01-08,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-09,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-01-10,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-11,SP-001,Pump Seal Kit,2,7,50.0,0.0205
2022-01-11,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-12,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-12,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-12,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-01-13,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-13,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-01-14,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-14,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-01-15,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-01-15,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-01-16,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-16,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-01-17,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-17,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-01-17,SP-005,Pressure Sensor,2,14,150.0,0.0616
2022-01-18,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-18,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-01-19,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-20,SP-003,Filler Valve O-Ring,4,3,2.5,0.001
2022-01-21,SP-002,Conveyor Belt Section,2,30,500.0,0.2055
2022-01-21,SP-003,Filler Valve O-Ring,1,3,2.5,0.001
2022-01-22,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
2022-01-23,SP-003,Filler Valve O-Ring,3,3,2.5,0.001
2022-01-24,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-24,SP-005,Pressure Sensor,1,14,150.0,0.0616
2022-01-25,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-25,SP-003,Filler Valve O-Ring,2,3,2.5,0.001
2022-01-26,SP-001,Pump Seal Kit,1,7,50.0,0.0205
2022-01-26,SP-002,Conveyor Belt Section,1,30,500.0,0.2055
