,Real Delivery Time (hr),Material Requested (kg),Material Arrived (kg),Material Cost (baht)
2023-01-01,4.083767290637653,1510.4244329320934,1466.2580528183948,5468.316916161851
2023-01-02,6.909121809079035,1636.795048859336,1599.153150376515,5307.355648802933
2023-01-03,5.8903996863067345,1564.3068507403489,1549.1890213940765,4864.442066815415
2023-01-04,5.951306252324424,1525.660502284451,1544.4216313385643,4997.141633807577
2023-01-05,4.451809800645751,1485.4551754085046,1484.943505375429,4816.616416897845
2023-01-06,3.924466475618469,1543.2089184288518,1365.4081692947761,4438.069627091101
2023-01-07,5.161841088047991,1478.1349457468195,1564.07082951798,5094.482107311158
2023-01-08,5.699735649175061,1571.670635494399,1575.7015570099477,4991.507585134909
2023-01-09,6.776423637014556,1606.2719665288478,1636.8951792702178,4901.797069325026
2023-01-10,7.579411469470336,1674.277545996957,1593.066715327811,4974.543873972707
2023-01-11,8.227173280791668,1510.4227469670936,1500.677722055984,5142.163089575617
2023-01-12,5.385192635338055,1534.9315719199542,1452.4655775035162,5293.412049487113
2023-01-13,2.6947310240383824,1432.8777283047775,1489.3658986187293,5210.3777304253845
2023-01-14,4.508621808009532,1462.0180247928888,1366.028472700323,5379.520526724948
2023-01-15,5.3599996873617295,1482.8483448918716,1415.7080804951029,4929.788995311251
2023-01-16,6.461893353170643,1567.5012983729284,1524.2182192396974,5108.820730854477
2023-01-17,6.432898584936211,1587.1180302776247,1535.3145267114023,5077.878843999555
2023-01-18,5.783751618766669,1412.9890417924257,1492.750843395931,4866.186787382381
2023-01-19,4.266703056652838,1417.5765084687546,1490.670612016939,5065.726023698434
2023-01-20,2.7014242642252526,1390.8940645538546,1456.7702298708273,5363.661947710395
2023-01-21,1.6638092669151998,1351.299399959355,1304.0979051534605,4996.789576824194
2023-01-22,3.5360919722692215,1419.4296915659115,1483.2693732787745,5027.103288609789
2023-01-23,5.837106757699303,1575.730161755302,1564.5418766266218,5578.227842432564
2023-01-24,5.642227721134634,1570.4398264770193,1570.2232066184008,5407.410246565579
2023-01-25,4.639322779504104,1437.1010033320847,1564.353553347913,5006.353439806515
2023-01-26,2.7207401563636986,1348.548265763331,1426.9177204252314,5048.197990320991
2023-01-27,1.6515275638163616,1400.4442264770455,1380.4236666433342,5589.373730159352
2023-01-28,2.896216728156051,1431.5995478097022,1381.97670729872,5136.28524892581
2023-01-29,4.93154693442799,1534.5760606746096,1458.8089983019715,5645.4664206309035
2023-01-30,5.02749350517203,1636.9199269098965,1671.255833516596,5268.416674647684
2023-01-31,7.1343263627676246,1708.045334031771,1625.5007825311998,5298.325288521986
2023-02-01,6.623949776232369,1541.56943888867,1618.2472743395147,5011.257512329462
2023-02-02,4.827770309504268,1469.8232996874287,1474.452196944182,5379.984472821702
2023-02-03,5.316862839686264,1546.3168148419807,1495.58106375472,5272.3126356703815
2023-02-04,3.33291765588583,1530.719300272381,1423.4428042923157,5424.812210948547
2023-02-05,6.0001397034986566,1603.4501887438512,1616.7332295187814,5130.677203275602
2023-02-06,7.195404694352463,1701.0090218904447,1605.4088175205673,5099.031860874051
2023-02-07,9.153123472507161,1584.2982931377833,1522.526146763893,5308.930105232766
2023-02-08,6.171341392456957,1553.4413443009921,1593.825057922631,5320.216008131974
2023-02-09,4.589859623932867,1555.415349241275,1470.877942641082,5506.308202009631
2023-02-10,2.986790961068191,1467.9602747609645,1335.8096136229938,5206.968564076775
2023-02-11,3.5993547302576827,1810.7372583816343,1674.4960633581961,5250.561663777144
2023-02-12,4.751640428353086,1486.1087415950417,1621.489521929433,5263.17212583333
2023-02-13,5.002975647552517,1631.3759198839305,1672.2949864268621,5126.296462683004
2023-02-14,9.4917102007686,1677.4707821275001,1684.354090607517,4883.317632538807
2023-02-15,7.925099204611884,1570.0921648244575,1509.9971397765241,4879.662166679284
2023-02-16,4.457426616994483,1537.4842453300575,1399.6729337531508,4693.763973565491
2023-02-17,3.273936181637258,1481.2547558775118,1329.1022522718624,5237.57163482286
2023-02-18,2.66994584703372,1397.1184797615697,1402.426011138057,4937.504704487078
2023-02-19,4.113719644225958,1500.2169274745877,1523.244617997966,4986.06650949522
2023-02-20,5.426375980448357,1529.7888328743286,1446.8047704065775,4785.146572481986
2023-02-21,6.523763442911252,1575.9190214487162,1562.4600235115888,5027.123900223014
2023-02-22,7.378178484100825,1490.520518776083,1395.7620922373253,4994.761140782186
2023-02-23,3.779934189562169,1428.9481253337574,1449.4482766482738,5130.847407831246
2023-02-24,3.8672864082591007,1414.819838017018,1287.571269091557,5316.893102475233
2023-02-25,2.0886402095336414,1389.8954545241422,1454.6989807647456,5111.3933611289995
2023-02-26,4.919950213096471,1526.4742320711584,1497.764190775672,4979.354468611228
2023-02-27,7.365387666365162,1562.0791443762478,1510.5751606168562,5194.924413213147
2023-02-28,5.5507622141501525,1661.7141035338477,1594.5260530610212,5068.953595946098
2023-03-01,4.481957374381203,1516.3836533344306,1574.1319233710158,4833.354817912147
2023-03-02,2.549583867283648,1374.6632738311255,1477.7029835981568,5011.595467526467
2023-03-03,4.481751273717314,1428.1125885070273,1351.6053370552168,4852.158162768155
2023-03-04,2.2813288608507687,1497.0798311492226,1528.6090173994617,5019.582598870529
2023-03-05,7.230197461530543,1628.7574477140824,1447.365433987045,4914.84170588461
2023-03-06,7.41170411408158,1627.9330562623322,1673.408944641927,4824.653443338038
2023-03-07,7.837377508922656,1699.3369815422839,1672.0171188039658,5054.983350366286
